GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
file-slice-and-dice-shared,com.minimalism.shared.service,BrokerConfiguration,122,0,0,0,52,0,35,0,35,0
file-slice-and-dice-shared,com.minimalism.shared.service,ClientConfigHelper,0,59,0,0,0,15,0,2,0,2
file-slice-and-dice-shared,com.minimalism.shared.service,AvroSchemaGenerator,0,88,0,0,0,13,0,2,0,2
file-slice-and-dice-shared,com.minimalism.shared.service,BrokerConfigurationReader,210,0,0,0,50,0,20,0,20,0
file-slice-and-dice-shared,com.minimalism.shared.service,FileSystemConfigHelper,221,526,18,24,18,117,18,43,0,40
file-slice-and-dice-shared,com.minimalism.shared.service,AppConfigHelper,0,32,0,2,0,9,0,5,0,4
file-slice-and-dice-shared,com.minimalism.shared.common,AllEnums.Directories,105,0,0,0,18,0,1,0,1,0
file-slice-and-dice-shared,com.minimalism.shared.common,AllEnums.RecordTypes,21,0,0,0,4,0,1,0,1,0
file-slice-and-dice-shared,com.minimalism.shared.common,AllEnums.DataSources,3,88,0,0,1,15,1,2,1,2
file-slice-and-dice-shared,com.minimalism.shared.common,AllEnums,3,0,0,0,1,0,1,0,1,0
file-slice-and-dice-shared,com.minimalism.shared.common,AllEnums.FileTypes,21,0,0,0,4,0,1,0,1,0
file-slice-and-dice-shared,com.minimalism.shared.common,AllEnums.DataSourceTypes,0,39,0,0,0,7,0,1,0,1
file-slice-and-dice-shared,com.minimalism.shared.common,AllEnums.DataTypes,80,81,21,0,45,14,22,2,3,2
file-slice-and-dice-shared,com.minimalism.shared.domain,IterationStatistics,13,293,3,29,6,95,5,49,2,36
file-slice-and-dice-shared,com.minimalism.shared.domain,IngestServiceSummary,62,162,6,26,17,39,6,33,3,20
file-slice-and-dice-shared,com.minimalism.shared.domain,Field.TypeConverter,38,107,4,12,11,22,5,9,1,5
file-slice-and-dice-shared,com.minimalism.shared.domain,Entity,6,144,5,9,3,34,6,15,1,13
file-slice-and-dice-shared,com.minimalism.shared.domain,ServiceConfiguration,9,62,1,1,3,22,3,10,2,10
file-slice-and-dice-shared,com.minimalism.shared.domain,Field,13,216,3,15,4,55,4,23,1,13
file-slice-and-dice-shared,com.minimalism.shared.exceptions,InvalidFileException,9,0,0,0,4,0,2,0,2,0
file-slice-and-dice-shared,com.minimalism.shared.exceptions,FileTypeNotSupportedException,9,0,0,0,4,0,2,0,2,0
file-slice-and-dice-shared,com.minimalism.shared.exceptions,NoSuchPathException,5,4,0,0,2,2,1,1,1,1
